section,Model,Hardware,Bandwidth,Quality,Memory,Flash,SRAM,Latency,RTF,Power,Verdict
best_onchip,percepnet_class_16k,Alif Ensemble E3,16 kHz,high,onchip,0.31 MiB,0.20 MiB,20 ms,0.03,1.26 mW,PASS
best_onchip,percepnet_class_16k,NXP MCX N94,16 kHz,high,onchip,0.31 MiB,0.20 MiB,20 ms,0.52,14.44 mW,PASS
best_onchip,rnnoise_class_16k,Alif Ensemble E3,16 kHz,acceptable,onchip,0.16 MiB,0.07 MiB,20 ms,0.02,0.67 mW,PASS
best_onchip,spectral_gate_only_16k,Alif Ensemble E3,16 kHz,acceptable,onchip,0.05 MiB,0.05 MiB,32 ms,0.02,0.81 mW,PASS
best_onchip,mp_senet_micro_16k_target,Alif Ensemble E3,16 kHz,acceptable,onchip,0.35 MiB,0.26 MiB,20 ms,0.03,1.00 mW,PASS
best_onchip,spectral_gate_only_16k,NXP MCX N94,16 kHz,acceptable,onchip,0.05 MiB,0.05 MiB,32 ms,0.14,3.88 mW,PASS
best_onchip,mp_senet_micro_16k_target,NXP MCX N94,16 kHz,acceptable,onchip,0.35 MiB,0.26 MiB,20 ms,0.17,4.82 mW,PASS
best_onchip,rnnoise_class_16k,NXP MCX N94,16 kHz,acceptable,onchip,0.16 MiB,0.07 MiB,20 ms,0.26,7.18 mW,PASS
all_under_50mw,percepnet_class_16k,Alif Ensemble E3,16 kHz,high,onchip,0.31 MiB,0.20 MiB,20 ms,0.03,1.26 mW,PASS
all_under_50mw,percepnet_class_16k,NXP MCX N94,16 kHz,high,onchip,0.31 MiB,0.20 MiB,20 ms,0.52,14.44 mW,PASS
all_under_50mw,rnnoise_class_16k,Alif Ensemble E3,16 kHz,acceptable,onchip,0.16 MiB,0.07 MiB,20 ms,0.02,0.67 mW,PASS
all_under_50mw,spectral_gate_only_16k,Alif Ensemble E3,16 kHz,acceptable,onchip,0.05 MiB,0.05 MiB,32 ms,0.02,0.81 mW,PASS
all_under_50mw,mp_senet_micro_16k_target,Alif Ensemble E3,16 kHz,acceptable,onchip,0.35 MiB,0.26 MiB,20 ms,0.03,1.00 mW,PASS
all_under_50mw,spectral_gate_only_16k,NXP MCX N94,16 kHz,acceptable,onchip,0.05 MiB,0.05 MiB,32 ms,0.14,3.88 mW,PASS
all_under_50mw,mp_senet_micro_16k_target,NXP MCX N94,16 kHz,acceptable,onchip,0.35 MiB,0.26 MiB,20 ms,0.17,4.82 mW,PASS
