model,family,sample_rate,hardware,hardware_category,verdict,quality_tier,flash_bytes,flash_limit_bytes,sram_peak_bytes,sram_limit_bytes,algorithmic_latency_ms,compute_time_per_hop_ms,real_time_factor,estimated_energy_per_second_mj,unsupported_op_fraction,memory_mode,reasons
atennuate_16k,atennuate,16000,Alif Ensemble E3,mcu_npu,FAIL,high,943168,5767168,327680,14155776,1024.00,468.35,0.4574,16.3142,0.0000,onchip,"latency,offline_only"
atennuate_16k,atennuate,16000,Infineon PSoC Edge E84,mcu_npu,FAIL,high,943168,0,327680,4194304,1024.00,474.87,0.4637,24.3969,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
atennuate_16k,atennuate,16000,NXP i.MX RT700,mcu_npu,FAIL,high,943168,0,327680,7864320,1024.00,809.10,0.7901,38.0458,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
atennuate_16k,atennuate,16000,NXP MCX N94,mcu_npu,FAIL,high,943168,2097152,327680,524288,1024.00,2298.89,2.2450,28.9362,0.0000,onchip,"compute,latency,offline_only"
atennuate_16k,atennuate,16000,STM32L476RG,classic_mcu,FAIL,high,943168,1048576,327680,131072,1024.00,14734.22,14.3889,26.4000,1.0000,onchip,"compute,flash,latency,offline_only,sram"
atennuate_16k,atennuate,16000,STM32N6,mcu_npu,FAIL,high,943168,0,327680,4404019,1024.00,234.13,0.2286,48.2585,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
atennuate_8k_estimated,atennuate,8000,Alif Ensemble E3,mcu_npu,FAIL,acceptable,943168,5767168,163840,14155776,1024.00,238.83,0.2332,8.3191,0.0000,onchip,"latency,offline_only"
atennuate_8k_estimated,atennuate,8000,Infineon PSoC Edge E84,mcu_npu,FAIL,acceptable,943168,0,163840,4194304,1024.00,242.09,0.2364,12.4385,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
atennuate_8k_estimated,atennuate,8000,NXP i.MX RT700,mcu_npu,FAIL,acceptable,943168,0,163840,7864320,1024.00,400.32,0.3909,18.8236,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
atennuate_8k_estimated,atennuate,8000,NXP MCX N94,mcu_npu,FAIL,acceptable,943168,2097152,163840,524288,1024.00,1142.20,1.1154,28.5756,0.0000,onchip,"compute,latency,offline_only"
atennuate_8k_estimated,atennuate,8000,STM32L476RG,classic_mcu,FAIL,acceptable,943168,1048576,163840,131072,1024.00,7466.67,7.2917,26.4000,1.0000,onchip,"compute,flash,latency,offline_only,sram"
atennuate_8k_estimated,atennuate,8000,STM32N6,mcu_npu,FAIL,acceptable,943168,0,163840,4404019,1024.00,119.39,0.1166,24.6092,0.0000,onchip,"flash,flashless_onchip,latency,offline_only"
mp_senet_lite_16k,mp_senet_lite,16000,Alif Ensemble E3,mcu_npu,FAIL,high,442724,5767168,2539264,14155776,1000.00,6855.72,6.8557,37.8923,0.2066,onchip,"compute,latency,offline_only"
mp_senet_lite_16k,mp_senet_lite,16000,Infineon PSoC Edge E84,mcu_npu,FAIL,high,442724,0,2539264,4194304,1000.00,7287.41,7.2874,71.5692,0.2066,onchip,"compute,flash,flashless_onchip,latency,offline_only"
mp_senet_lite_16k,mp_senet_lite,16000,NXP i.MX RT700,mcu_npu,FAIL,high,442724,0,2539264,7864320,1000.00,41410.22,41.4102,64.0539,0.2066,onchip,"compute,flash,flashless_onchip,latency,offline_only"
mp_senet_lite_16k,mp_senet_lite,16000,NXP MCX N94,mcu_npu,FAIL,high,442724,2097152,2539264,524288,1000.00,106500.58,106.5006,53.2150,0.2066,onchip,"compute,latency,offline_only,sram"
mp_senet_lite_16k,mp_senet_lite,16000,STM32L476RG,classic_mcu,FAIL,high,442724,1048576,2539264,131072,1000.00,398611.11,398.6111,26.4000,1.0000,onchip,"compute,latency,offline_only,sram"
mp_senet_lite_16k,mp_senet_lite,16000,STM32N6,mcu_npu,FAIL,high,442724,0,2539264,4404019,1000.00,3424.73,3.4247,212.4513,0.2066,onchip,"compute,flash,flashless_onchip,latency,offline_only"
mp_senet_lite_8k_estimated,mp_senet_lite,8000,Alif Ensemble E3,mcu_npu,FAIL,acceptable,442724,5767168,1277952,14155776,1000.00,2744.50,2.7445,36.6738,0.1923,onchip,"compute,latency,offline_only"
mp_senet_lite_8k_estimated,mp_senet_lite,8000,Infineon PSoC Edge E84,mcu_npu,FAIL,acceptable,442724,0,1277952,4194304,1000.00,2942.66,2.9427,61.4154,0.1923,onchip,"compute,flash,flashless_onchip,latency,offline_only"
